Año;PIB;Consumo
1990;10.331;10.817
1991;11.4;11.061
1992;11.8;11.244
1993;10.8;11.237
1994;10.8;11.777
1995;11.84;12.116
1996;12.7;12.655
1997;13;13.674
1998;13.76;14.202
1999;14.76;15.241
2000;15.97;16.205
2001;17.2;17.279
2002;18.09;17.671
2003;19.01;18.736
2004;20.05;19.834
2005;21.24;20.827
2006;22.63;21.163
2007;23.78;21.564
2008;24.13;21.934
2009;23.06;20.617
2010;23.04;21.049
2011;22.76;20.938
2012;22.562;20.658
2013;22.518;19.784
2014;22.78;19.51
2015;23.22;19.952
2016;23.98;19.993
2017;24.97;20.559
2018;25.75;20.504
2019;26.42;20.166
