"IDE_FECHA_VENTA";"DES_FECHA_VENTA"
"2022-07-16";"sabado 16 julio 2022"
"2022-07-17";"domingo 17 julio 2022"
"2022-07-18";"lunes 18 julio 2022"
"2022-07-19";"martes 19 julio 2022"
"2022-07-20";"miercoles 20 julio 2022"
"2022-07-21";"jueves 21 julio 2022"
"2022-07-22";"viernes 22 julio 2022"
"2022-07-23";"sabado 23 julio 2022"
"2022-07-24";"domingo 24 julio 2022"
"2022-07-25";"lunes 25 julio 2022"
"2022-07-26";"martes 26 julio 2022"
"2022-07-27";"miercoles 27 julio 2022"
"2022-07-28";"jueves 28 julio 2022"
"2022-07-29";"viernes 29 julio 2022"
"2022-07-30";"sabado 30 julio 2022"
"2022-07-31";"domingo 31 julio 2022"
"2022-08-01";"lunes 1 agosto 2022"
"2022-08-02";"martes 2 agosto 2022"
"2022-08-03";"miercoles 3 agosto 2022"
"2022-08-04";"jueves 4 agosto 2022"
"2022-08-05";"viernes 5 agosto 2022"
"2022-08-06";"sabado 6 agosto 2022"
"2022-08-07";"domingo 7 agosto 2022"
"2022-08-08";"lunes 8 agosto 2022"
"2022-08-09";"martes 9 agosto 2022"
"2022-08-10";"miercoles 10 agosto 2022"
"2022-08-11";"jueves 11 agosto 2022"
"2022-08-12";"viernes 12 agosto 2022"
"2022-08-13";"sabado 13 agosto 2022"
"2022-08-14";"domingo 14 agosto 2022"
"2022-08-15";"lunes 15 agosto 2022"
"2022-08-16";"martes 16 agosto 2022"
"2022-08-17";"miercoles 17 agosto 2022"
"2022-08-18";"jueves 18 agosto 2022"
"2022-08-19";"viernes 19 agosto 2022"
"2022-08-20";"sabado 20 agosto 2022"
"2022-08-21";"domingo 21 agosto 2022"
"2022-08-22";"lunes 22 agosto 2022"
"2022-08-23";"martes 23 agosto 2022"
"2022-08-24";"miercoles 24 agosto 2022"
"2022-08-25";"jueves 25 agosto 2022"
"2022-08-26";"viernes 26 agosto 2022"
"2022-08-27";"sabado 27 agosto 2022"
"2022-08-28";"domingo 28 agosto 2022"
"2022-08-29";"lunes 29 agosto 2022"
"2022-08-30";"martes 30 agosto 2022"
"2022-08-31";"miercoles 31 agosto 2022"
"2022-09-01";"jueves 1 septiembre 2022"
"2022-09-02";"viernes 2 septiembre 2022"
"2022-09-03";"sabado 3 septiembre 2022"
"2022-09-04";"domingo 4 septiembre 2022"
"2022-09-05";"lunes 5 septiembre 2022"
"2022-09-06";"martes 6 septiembre 2022"
"2022-09-07";"miercoles 7 septiembre 2022"
"2022-09-08";"jueves 8 septiembre 2022"
"2022-09-09";"viernes 9 septiembre 2022"
"2022-09-10";"sabado 10 septiembre 2022"
"2022-09-11";"domingo 11 septiembre 2022"
"2022-09-12";"lunes 12 septiembre 2022"
"2022-09-13";"martes 13 septiembre 2022"
"2022-09-14";"miercoles 14 septiembre 2022"
"2022-09-15";"jueves 15 septiembre 2022"
"2022-09-16";"viernes 16 septiembre 2022"
"2022-09-17";"sabado 17 septiembre 2022"
"2022-09-18";"domingo 18 septiembre 2022"
"2022-09-19";"lunes 19 septiembre 2022"
"2022-09-20";"martes 20 septiembre 2022"
"2022-09-21";"miercoles 21 septiembre 2022"
"2022-09-22";"jueves 22 septiembre 2022"
"2022-09-23";"viernes 23 septiembre 2022"
"2022-09-24";"sabado 24 septiembre 2022"
"2022-09-25";"domingo 25 septiembre 2022"
"2022-09-26";"lunes 26 septiembre 2022"
"2022-09-27";"martes 27 septiembre 2022"
"2022-09-28";"miercoles 28 septiembre 2022"
"2022-09-29";"jueves 29 septiembre 2022"
"2022-09-30";"viernes 30 septiembre 2022"
"2022-10-01";"sabado 1 octubre 2022"
"2022-10-02";"domingo 2 octubre 2022"
"2022-10-03";"lunes 3 octubre 2022"
"2022-10-04";"martes 4 octubre 2022"
"2022-10-05";"miercoles 5 octubre 2022"
"2022-10-06";"jueves 6 octubre 2022"
"2022-10-07";"viernes 7 octubre 2022"
"2022-10-08";"sabado 8 octubre 2022"
"2022-10-09";"domingo 9 octubre 2022"
"2022-10-10";"lunes 10 octubre 2022"
"2022-10-11";"martes 11 octubre 2022"
"2022-10-12";"miercoles 12 octubre 2022"
"2022-10-13";"jueves 13 octubre 2022"
"2022-10-14";"viernes 14 octubre 2022"
"2022-10-15";"sabado 15 octubre 2022"
"2022-10-16";"domingo 16 octubre 2022"
"2022-10-17";"lunes 17 octubre 2022"
